gene	function
NFE2L2	NFE2 like bZIP transcription factor 2 — This gene encodes a transcription factor which is a member of a small family of basic leucine zipper (bZIP) proteins. The encoded transcription factor regulates genes which contain antioxidant response elements (ARE) in their promoters;...
NFIA	nuclear factor I A — This gene encodes a member of the NF1 (nuclear factor 1) family of transcription factors. Multiple transcript variants encoding different isoforms have been found for this gene.
NFIB	nuclear factor I B — Enables DNA-binding transcription activator activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding activity; and transcription regulator inhibitor activity. Involved in brain developme...
NFIC	nuclear factor I C — The protein encoded by this gene belongs to the CTF/NF-I family. These are dimeric DNA-binding proteins, and function as cellular transcription factors and as replication factors for adenovirus DNA replication.
NFIL3	nuclear factor, interleukin 3 regulated — The protein encoded by this gene is a transcriptional regulator that binds as a homodimer to activating transcription factor (ATF) sites in many cellular and viral promoters. The encoded protein represses PER1 and PER2 expression and the...
NFIX	nuclear factor I X — The protein encoded by this gene is a transcription factor that binds the palindromic sequence 5'-TTGGCNNNNNGCCAA-3 in viral and cellular promoters. The encoded protein can also stimulate adenovirus replication in vitro.
NFKB1	nuclear factor kappa B subunit 1 — This gene encodes a 105 kD protein which can undergo cotranslational processing by the 26S proteasome to produce a 50 kD protein. The 105 kD protein is a Rel protein-specific transcription inhibitor and the 50 kD protein is a DNA binding...
NFKB2	nuclear factor kappa B subunit 2 — This gene encodes a subunit of the transcription factor complex nuclear factor-kappa-B (NFkB). The NFkB complex is expressed in numerous cell types and functions as a central activator of genes involved in inflammation and immune function.
NFKBIA	NFKB inhibitor alpha — This gene encodes a member of the NF-kappa-B inhibitor family, which contain multiple ankrin repeat domains. The encoded protein interacts with REL dimers to inhibit NF-kappa-B/REL complexes which are involved in inflammatory responses.
NFKBIB	NFKB inhibitor beta — The protein encoded by this gene belongs to the NF-kappa-B inhibitor family, which inhibit NF-kappa-B by complexing with, and trapping it in the cytoplasm. Phosphorylation of serine residues on these proteins by kinases marks them for de...
NFKBIE	NFKB inhibitor epsilon — The protein encoded by this gene binds to components of NF-kappa-B, trapping the complex in the cytoplasm and preventing it from activating genes in the nucleus. Phosphorylation of the encoded protein targets it for destruction by the ub...
NFKBIL1	NFKB inhibitor like 1 — This gene encodes a divergent member of the I-kappa-B family of proteins. Its function has not been determined.
NFU1	NFU1 iron-sulfur cluster scaffold — This gene encodes a protein that is localized to mitochondria and plays a critical role in iron-sulfur cluster biogenesis. The encoded protein assembles and transfers 4Fe-4S clusters to target apoproteins including succinate dehydrogenas...
NFYC	nuclear transcription factor Y subunit gamma — This gene encodes one subunit of a trimeric complex forming a highly conserved transcription factor that binds with high specificity to CCAAT motifs in the promoters of a variety of genes. The encoded protein, subunit C, forms a tight di...
NFYC-AS1	NFYC antisense RNA 1 (non-coding RNA; limited characterised function).
NGB	neuroglobin — This gene encodes an oxygen-binding protein that is distantly related to members of the globin gene family. It is highly conserved among other vertebrates.
NGDN	neuroguidin — Neuroguidin is an EIF4E (MIM 133440)-binding protein that interacts with CPEB (MIM 607342) and functions as a translational regulatory protein during development of the vertebrate nervous system (Jung et al., 2006 [PubMed 16705177]).[sup...
NGEF	neuronal guanine nucleotide exchange factor — Enables guanyl-nucleotide exchange factor activity. Predicted to be involved in several processes, including activation of GTPase activity; ephrin receptor signaling pathway; and negative regulation of dendritic spine morphogenesis.
NGF	nerve growth factor — This gene is a member of the NGF-beta family and encodes a secreted protein which homodimerizes and is incorporated into a larger complex. This protein has nerve growth stimulating activity and the complex is involved in the regulation o...
NGF-AS1	NGF antisense RNA 1 (non-coding RNA; limited characterised function).
NGFR	nerve growth factor receptor — Nerve growth factor receptor contains an extracellular domain containing four 40-amino acid repeats with 6 cysteine residues at conserved positions followed by a serine/threonine-rich region, a single transmembrane domain, and a 155-amin...
NHLRC4	NHL repeat containing 4 — Predicted to enable ubiquitin protein ligase activity. Predicted to be involved in protein K48-linked ubiquitination.
NHS	NHS actin remodeling regulator — This gene encodes a protein containing four conserved nuclear localization signals. The encoded protein functions in eye, tooth, craniofacial and brain development, and it can regulate actin remodeling and cell morphology.
NHSL1	NHS like 1 — Predicted to be involved in cell differentiation. [provided by Alliance of Genome Resources, Apr 2022]
NIBAN1	niban apoptosis regulator 1 — This gene encodes a member of the family with sequence similarity 129 protein family. This gene is highly expressed in several cancer cells and may serve as a prognostic marker for certain cancers.
NIBAN3	niban apoptosis regulator 3
NID1	nidogen 1 — This gene encodes a member of the nidogen family of basement membrane glycoproteins. The protein interacts with several other components of basement membranes, and may play a role in cell interactions with the extracellular matrix.
NID2	nidogen 2 — This gene encodes a member of the nidogen family of basement membrane proteins. This protein is a cell-adhesion protein that binds collagens I and IV and laminin and may be involved in maintaining the structure of the basement membrane.[...
NIM1K	NIM1 serine/threonine protein kinase — Enables ATP binding activity; magnesium ion binding activity; and protein serine/threonine kinase activity. Involved in protein phosphorylation.
NIN	ninein — This gene encodes one of the proteins important for centrosomal function. This protein is important for positioning and anchoring the microtubules minus-ends in epithelial cells.
NINJ2	ninjurin 2 — The protein encoded by this gene belongs to the ninjurin (for nerve injury induced) family. It is a cell surface adhesion protein that is upregulated in Schwann cells surrounding the distal segment of injured nerve, and promotes neurite...
NINJ2-AS1	NINJ2 antisense RNA 1 (non-coding RNA; limited characterised function).
NIPSNAP1	nipsnap homolog 1 — This gene encodes a member of the NipSnap family of proteins that may be involved in vesicular transport. A similar protein in mice inhibits the calcium channel TRPV6, and is also localized to the inner mitochondrial membrane where it ma...
NISCH	nischarin — This gene encodes a nonadrenergic imidazoline-1 receptor protein that localizes to the cytosol and anchors to the inner layer of the plasma membrane. The orthologous mouse protein has been shown to influence cytoskeletal organization and...
NKAIN1	sodium/potassium transporting ATPase interacting 1 — NKAIN1 is a member of a family of mammalian proteins with similarity to Drosophila Nkain and interacts with the beta subunit of Na,K-ATPase (ATP1B1; MIM 182330) (Gorokhova et al., 2007 [PubMed 17606467]).[supplied by OMIM, Jun 2009].
NKAIN2	sodium/potassium transporting ATPase interacting 2 — This gene encodes a transmembrane protein that interacts with the beta subunit of a sodium/potassium-transporting ATPase. A chromosomal translocation involving this gene is a cause of lymphoma.
NKAIN3	sodium/potassium transporting ATPase interacting 3 — NKAIN3 is a member of a family of mammalian proteins (see NKAIN1; MIM 612871) with similarity to Drosophila Nkain (Gorokhova et al., 2007 [PubMed 17606467]).[supplied by OMIM, Jun 2009].
NKAPL	NFKB activating protein like — Predicted to enable chromatin binding activity. Predicted to be involved in regulation of gene expression.
NKD1	NKD inhibitor of Wnt signaling pathway 1 — In the mouse, Nkd is a Dishevelled (see DVL1; MIM 601365)-binding protein that functions as a negative regulator of the Wnt (see WNT1; MIM 164820)-beta-catenin (see MIM 116806)-Tcf (see MIM 602272) signaling pathway.[supplied by OMIM, Ju...
